data_da,data_a,realizzatore,realizzatore_grezzo,committente,partito,valore_grezzo,valore_normalizzato,base_grezza,colonne_risposta,domanda,fonte
19/06/2026,21/06/2026,Noto Sondaggi,NOTO SONDAGGI,IL GIORNALE,Futuro Nazionale / Vannacci,4.0,4.47,89.5,2,"Se domani si dovesse votare per le elezioni politiche, lei quale lista voterebbe?",sondaggipoliticoelettorali.it
19/06/2026,21/06/2026,Noto Sondaggi,NOTO SONDAGGI,IL GIORNALE,PD / Schlein,20.0,22.35,89.5,2,"Se domani si dovesse votare per le elezioni politiche, lei quale lista voterebbe?",sondaggipoliticoelettorali.it
19/06/2026,21/06/2026,Noto Sondaggi,NOTO SONDAGGI,IL GIORNALE,M5S / Conte,13.0,14.53,89.5,2,"Se domani si dovesse votare per le elezioni politiche, lei quale lista voterebbe?",sondaggipoliticoelettorali.it
19/06/2026,21/06/2026,Noto Sondaggi,NOTO SONDAGGI,IL GIORNALE,AVS / Fratoianni-Bonelli,6.0,6.7,89.5,2,"Se domani si dovesse votare per le elezioni politiche, lei quale lista voterebbe?",sondaggipoliticoelettorali.it
19/06/2026,21/06/2026,Noto Sondaggi,NOTO SONDAGGI,IL GIORNALE,Italia Viva / Renzi,2.5,2.79,89.5,2,"Se domani si dovesse votare per le elezioni politiche, lei quale lista voterebbe?",sondaggipoliticoelettorali.it
19/06/2026,21/06/2026,Noto Sondaggi,NOTO SONDAGGI,IL GIORNALE,+Europa,1.0,1.12,89.5,2,"Se domani si dovesse votare per le elezioni politiche, lei quale lista voterebbe?",sondaggipoliticoelettorali.it
19/06/2026,21/06/2026,Noto Sondaggi,NOTO SONDAGGI,IL GIORNALE,Azione / Calenda,3.5,3.91,89.5,2,"Se domani si dovesse votare per le elezioni politiche, lei quale lista voterebbe?",sondaggipoliticoelettorali.it
22/07/2026,27/07/2026,Swg,SWG S.p.A.,La7,FdI / Meloni,27.0,28.6,94.4,1,"Se dovesse votare oggi alle elezioni nazionali, a quale dei seguenti partiti darebbe il suo voto più probabilmente?",sondaggipoliticoelettorali.it
22/07/2026,27/07/2026,Swg,SWG S.p.A.,La7,PD / Schlein,20.9,22.14,94.4,1,"Se dovesse votare oggi alle elezioni nazionali, a quale dei seguenti partiti darebbe il suo voto più probabilmente?",sondaggipoliticoelettorali.it
22/07/2026,27/07/2026,Swg,SWG S.p.A.,La7,M5S / Conte,12.9,13.67,94.4,1,"Se dovesse votare oggi alle elezioni nazionali, a quale dei seguenti partiti darebbe il suo voto più probabilmente?",sondaggipoliticoelettorali.it
22/07/2026,27/07/2026,Swg,SWG S.p.A.,La7,Forza Italia / Tajani,7.6,8.05,94.4,1,"Se dovesse votare oggi alle elezioni nazionali, a quale dei seguenti partiti darebbe il suo voto più probabilmente?",sondaggipoliticoelettorali.it
22/07/2026,27/07/2026,Swg,SWG S.p.A.,La7,Futuro Nazionale / Vannacci,6.9,7.31,94.4,1,"Se dovesse votare oggi alle elezioni nazionali, a quale dei seguenti partiti darebbe il suo voto più probabilmente?",sondaggipoliticoelettorali.it
22/07/2026,27/07/2026,Swg,SWG S.p.A.,La7,AVS / Fratoianni-Bonelli,6.5,6.89,94.4,1,"Se dovesse votare oggi alle elezioni nazionali, a quale dei seguenti partiti darebbe il suo voto più probabilmente?",sondaggipoliticoelettorali.it
22/07/2026,27/07/2026,Swg,SWG S.p.A.,La7,Lega / Salvini,5.7,6.04,94.4,1,"Se dovesse votare oggi alle elezioni nazionali, a quale dei seguenti partiti darebbe il suo voto più probabilmente?",sondaggipoliticoelettorali.it
22/07/2026,27/07/2026,Swg,SWG S.p.A.,La7,Azione / Calenda,3.4,3.6,94.4,1,"Se dovesse votare oggi alle elezioni nazionali, a quale dei seguenti partiti darebbe il suo voto più probabilmente?",sondaggipoliticoelettorali.it
22/07/2026,27/07/2026,Swg,SWG S.p.A.,La7,Italia Viva / Renzi,2.3,2.44,94.4,1,"Se dovesse votare oggi alle elezioni nazionali, a quale dei seguenti partiti darebbe il suo voto più probabilmente?",sondaggipoliticoelettorali.it
22/07/2026,27/07/2026,Swg,SWG S.p.A.,La7,+Europa,1.2,1.27,94.4,1,"Se dovesse votare oggi alle elezioni nazionali, a quale dei seguenti partiti darebbe il suo voto più probabilmente?",sondaggipoliticoelettorali.it
15/07/2026,20/07/2026,Swg,SWG S.p.A.,La7,FdI / Meloni,26.9,28.47,94.5,1,"Se dovesse votare oggi alle elezioni nazionali, a quale dei seguenti partiti darebbe il suo voto più probabilmente?",sondaggipoliticoelettorali.it
15/07/2026,20/07/2026,Swg,SWG S.p.A.,La7,PD / Schlein,21.1,22.33,94.5,1,"Se dovesse votare oggi alle elezioni nazionali, a quale dei seguenti partiti darebbe il suo voto più probabilmente?",sondaggipoliticoelettorali.it
15/07/2026,20/07/2026,Swg,SWG S.p.A.,La7,M5S / Conte,13.1,13.86,94.5,1,"Se dovesse votare oggi alle elezioni nazionali, a quale dei seguenti partiti darebbe il suo voto più probabilmente?",sondaggipoliticoelettorali.it
15/07/2026,20/07/2026,Swg,SWG S.p.A.,La7,Forza Italia / Tajani,7.7,8.15,94.5,1,"Se dovesse votare oggi alle elezioni nazionali, a quale dei seguenti partiti darebbe il suo voto più probabilmente?",sondaggipoliticoelettorali.it
15/07/2026,20/07/2026,Swg,SWG S.p.A.,La7,Futuro Nazionale / Vannacci,6.7,7.09,94.5,1,"Se dovesse votare oggi alle elezioni nazionali, a quale dei seguenti partiti darebbe il suo voto più probabilmente?",sondaggipoliticoelettorali.it
15/07/2026,20/07/2026,Swg,SWG S.p.A.,La7,AVS / Fratoianni-Bonelli,6.4,6.77,94.5,1,"Se dovesse votare oggi alle elezioni nazionali, a quale dei seguenti partiti darebbe il suo voto più probabilmente?",sondaggipoliticoelettorali.it
15/07/2026,20/07/2026,Swg,SWG S.p.A.,La7,Lega / Salvini,5.5,5.82,94.5,1,"Se dovesse votare oggi alle elezioni nazionali, a quale dei seguenti partiti darebbe il suo voto più probabilmente?",sondaggipoliticoelettorali.it
15/07/2026,20/07/2026,Swg,SWG S.p.A.,La7,Azione / Calenda,3.4,3.6,94.5,1,"Se dovesse votare oggi alle elezioni nazionali, a quale dei seguenti partiti darebbe il suo voto più probabilmente?",sondaggipoliticoelettorali.it
15/07/2026,20/07/2026,Swg,SWG S.p.A.,La7,Italia Viva / Renzi,2.5,2.65,94.5,1,"Se dovesse votare oggi alle elezioni nazionali, a quale dei seguenti partiti darebbe il suo voto più probabilmente?",sondaggipoliticoelettorali.it
15/07/2026,20/07/2026,Swg,SWG S.p.A.,La7,+Europa,1.2,1.27,94.5,1,"Se dovesse votare oggi alle elezioni nazionali, a quale dei seguenti partiti darebbe il suo voto più probabilmente?",sondaggipoliticoelettorali.it
08/07/2026,13/07/2026,Swg,SWG S.p.A.,La7,FdI / Meloni,27.2,28.78,94.5,1,"Se dovesse votare oggi alle elezioni nazionali, a quale dei seguenti partiti darebbe il suo voto più probabilmente?",sondaggipoliticoelettorali.it
08/07/2026,13/07/2026,Swg,SWG S.p.A.,La7,PD / Schlein,21.3,22.54,94.5,1,"Se dovesse votare oggi alle elezioni nazionali, a quale dei seguenti partiti darebbe il suo voto più probabilmente?",sondaggipoliticoelettorali.it
08/07/2026,13/07/2026,Swg,SWG S.p.A.,La7,M5S / Conte,12.9,13.65,94.5,1,"Se dovesse votare oggi alle elezioni nazionali, a quale dei seguenti partiti darebbe il suo voto più probabilmente?",sondaggipoliticoelettorali.it
08/07/2026,13/07/2026,Swg,SWG S.p.A.,La7,Forza Italia / Tajani,7.7,8.15,94.5,1,"Se dovesse votare oggi alle elezioni nazionali, a quale dei seguenti partiti darebbe il suo voto più probabilmente?",sondaggipoliticoelettorali.it
08/07/2026,13/07/2026,Swg,SWG S.p.A.,La7,AVS / Fratoianni-Bonelli,6.4,6.77,94.5,1,"Se dovesse votare oggi alle elezioni nazionali, a quale dei seguenti partiti darebbe il suo voto più probabilmente?",sondaggipoliticoelettorali.it
08/07/2026,13/07/2026,Swg,SWG S.p.A.,La7,Futuro Nazionale / Vannacci,6.3,6.67,94.5,1,"Se dovesse votare oggi alle elezioni nazionali, a quale dei seguenti partiti darebbe il suo voto più probabilmente?",sondaggipoliticoelettorali.it
08/07/2026,13/07/2026,Swg,SWG S.p.A.,La7,Lega / Salvini,5.4,5.71,94.5,1,"Se dovesse votare oggi alle elezioni nazionali, a quale dei seguenti partiti darebbe il suo voto più probabilmente?",sondaggipoliticoelettorali.it
08/07/2026,13/07/2026,Swg,SWG S.p.A.,La7,Azione / Calenda,3.5,3.7,94.5,1,"Se dovesse votare oggi alle elezioni nazionali, a quale dei seguenti partiti darebbe il suo voto più probabilmente?",sondaggipoliticoelettorali.it
08/07/2026,13/07/2026,Swg,SWG S.p.A.,La7,Italia Viva / Renzi,2.5,2.65,94.5,1,"Se dovesse votare oggi alle elezioni nazionali, a quale dei seguenti partiti darebbe il suo voto più probabilmente?",sondaggipoliticoelettorali.it
08/07/2026,13/07/2026,Swg,SWG S.p.A.,La7,+Europa,1.3,1.38,94.5,1,"Se dovesse votare oggi alle elezioni nazionali, a quale dei seguenti partiti darebbe il suo voto più probabilmente?",sondaggipoliticoelettorali.it
01/07/2026,06/07/2026,Swg,SWG S.p.A.,La7,FdI / Meloni,27.1,28.68,94.5,1,"Se dovesse votare oggi alle elezioni nazionali, a quale dei seguenti partiti darebbe il suo voto più probabilmente?",sondaggipoliticoelettorali.it
01/07/2026,06/07/2026,Swg,SWG S.p.A.,La7,PD / Schlein,21.5,22.75,94.5,1,"Se dovesse votare oggi alle elezioni nazionali, a quale dei seguenti partiti darebbe il suo voto più probabilmente?",sondaggipoliticoelettorali.it
01/07/2026,06/07/2026,Swg,SWG S.p.A.,La7,M5S / Conte,13.1,13.86,94.5,1,"Se dovesse votare oggi alle elezioni nazionali, a quale dei seguenti partiti darebbe il suo voto più probabilmente?",sondaggipoliticoelettorali.it
01/07/2026,06/07/2026,Swg,SWG S.p.A.,La7,Forza Italia / Tajani,7.4,7.83,94.5,1,"Se dovesse votare oggi alle elezioni nazionali, a quale dei seguenti partiti darebbe il suo voto più probabilmente?",sondaggipoliticoelettorali.it
01/07/2026,06/07/2026,Swg,SWG S.p.A.,La7,AVS / Fratoianni-Bonelli,6.5,6.88,94.5,1,"Se dovesse votare oggi alle elezioni nazionali, a quale dei seguenti partiti darebbe il suo voto più probabilmente?",sondaggipoliticoelettorali.it
01/07/2026,06/07/2026,Swg,SWG S.p.A.,La7,Futuro Nazionale / Vannacci,6.0,6.35,94.5,1,"Se dovesse votare oggi alle elezioni nazionali, a quale dei seguenti partiti darebbe il suo voto più probabilmente?",sondaggipoliticoelettorali.it
01/07/2026,06/07/2026,Swg,SWG S.p.A.,La7,Lega / Salvini,5.6,5.93,94.5,1,"Se dovesse votare oggi alle elezioni nazionali, a quale dei seguenti partiti darebbe il suo voto più probabilmente?",sondaggipoliticoelettorali.it
01/07/2026,06/07/2026,Swg,SWG S.p.A.,La7,Azione / Calenda,3.4,3.6,94.5,1,"Se dovesse votare oggi alle elezioni nazionali, a quale dei seguenti partiti darebbe il suo voto più probabilmente?",sondaggipoliticoelettorali.it
01/07/2026,06/07/2026,Swg,SWG S.p.A.,La7,Italia Viva / Renzi,2.5,2.65,94.5,1,"Se dovesse votare oggi alle elezioni nazionali, a quale dei seguenti partiti darebbe il suo voto più probabilmente?",sondaggipoliticoelettorali.it
01/07/2026,06/07/2026,Swg,SWG S.p.A.,La7,+Europa,1.4,1.48,94.5,1,"Se dovesse votare oggi alle elezioni nazionali, a quale dei seguenti partiti darebbe il suo voto più probabilmente?",sondaggipoliticoelettorali.it
24/06/2026,29/06/2026,Swg,SWG S.p.A.,La7,FdI / Meloni,27.3,28.92,94.4,1,"Se dovesse votare oggi alle elezioni nazionali, a quale dei seguenti partiti darebbe il suo voto più probabilmente?",sondaggipoliticoelettorali.it
24/06/2026,29/06/2026,Swg,SWG S.p.A.,La7,PD / Schlein,21.8,23.09,94.4,1,"Se dovesse votare oggi alle elezioni nazionali, a quale dei seguenti partiti darebbe il suo voto più probabilmente?",sondaggipoliticoelettorali.it
24/06/2026,29/06/2026,Swg,SWG S.p.A.,La7,M5S / Conte,13.3,14.09,94.4,1,"Se dovesse votare oggi alle elezioni nazionali, a quale dei seguenti partiti darebbe il suo voto più probabilmente?",sondaggipoliticoelettorali.it
24/06/2026,29/06/2026,Swg,SWG S.p.A.,La7,Forza Italia / Tajani,7.2,7.63,94.4,1,"Se dovesse votare oggi alle elezioni nazionali, a quale dei seguenti partiti darebbe il suo voto più probabilmente?",sondaggipoliticoelettorali.it
24/06/2026,29/06/2026,Swg,SWG S.p.A.,La7,AVS / Fratoianni-Bonelli,6.4,6.78,94.4,1,"Se dovesse votare oggi alle elezioni nazionali, a quale dei seguenti partiti darebbe il suo voto più probabilmente?",sondaggipoliticoelettorali.it
24/06/2026,29/06/2026,Swg,SWG S.p.A.,La7,Futuro Nazionale / Vannacci,5.6,5.93,94.4,1,"Se dovesse votare oggi alle elezioni nazionali, a quale dei seguenti partiti darebbe il suo voto più probabilmente?",sondaggipoliticoelettorali.it
24/06/2026,29/06/2026,Swg,SWG S.p.A.,La7,Lega / Salvini,5.4,5.72,94.4,1,"Se dovesse votare oggi alle elezioni nazionali, a quale dei seguenti partiti darebbe il suo voto più probabilmente?",sondaggipoliticoelettorali.it
24/06/2026,29/06/2026,Swg,SWG S.p.A.,La7,Azione / Calenda,3.5,3.71,94.4,1,"Se dovesse votare oggi alle elezioni nazionali, a quale dei seguenti partiti darebbe il suo voto più probabilmente?",sondaggipoliticoelettorali.it
24/06/2026,29/06/2026,Swg,SWG S.p.A.,La7,Italia Viva / Renzi,2.4,2.54,94.4,1,"Se dovesse votare oggi alle elezioni nazionali, a quale dei seguenti partiti darebbe il suo voto più probabilmente?",sondaggipoliticoelettorali.it
24/06/2026,29/06/2026,Swg,SWG S.p.A.,La7,+Europa,1.5,1.59,94.4,1,"Se dovesse votare oggi alle elezioni nazionali, a quale dei seguenti partiti darebbe il suo voto più probabilmente?",sondaggipoliticoelettorali.it
17/06/2026,22/06/2026,Swg,SWG S.p.A.,La7,FdI / Meloni,27.7,29.1,95.2,1,"Se dovesse votare oggi alle elezioni nazionali, a quale dei seguenti partiti darebbe il suo voto più probabilmente?",sondaggipoliticoelettorali.it
17/06/2026,22/06/2026,Swg,SWG S.p.A.,La7,PD / Schlein,21.8,22.9,95.2,1,"Se dovesse votare oggi alle elezioni nazionali, a quale dei seguenti partiti darebbe il suo voto più probabilmente?",sondaggipoliticoelettorali.it
17/06/2026,22/06/2026,Swg,SWG S.p.A.,La7,M5S / Conte,13.2,13.87,95.2,1,"Se dovesse votare oggi alle elezioni nazionali, a quale dei seguenti partiti darebbe il suo voto più probabilmente?",sondaggipoliticoelettorali.it
17/06/2026,22/06/2026,Swg,SWG S.p.A.,La7,Forza Italia / Tajani,7.4,7.77,95.2,1,"Se dovesse votare oggi alle elezioni nazionali, a quale dei seguenti partiti darebbe il suo voto più probabilmente?",sondaggipoliticoelettorali.it
17/06/2026,22/06/2026,Swg,SWG S.p.A.,La7,AVS / Fratoianni-Bonelli,6.6,6.93,95.2,1,"Se dovesse votare oggi alle elezioni nazionali, a quale dei seguenti partiti darebbe il suo voto più probabilmente?",sondaggipoliticoelettorali.it
17/06/2026,22/06/2026,Swg,SWG S.p.A.,La7,Lega / Salvini,5.4,5.67,95.2,1,"Se dovesse votare oggi alle elezioni nazionali, a quale dei seguenti partiti darebbe il suo voto più probabilmente?",sondaggipoliticoelettorali.it
17/06/2026,22/06/2026,Swg,SWG S.p.A.,La7,Futuro Nazionale / Vannacci,5.3,5.57,95.2,1,"Se dovesse votare oggi alle elezioni nazionali, a quale dei seguenti partiti darebbe il suo voto più probabilmente?",sondaggipoliticoelettorali.it
17/06/2026,22/06/2026,Swg,SWG S.p.A.,La7,Azione / Calenda,3.7,3.89,95.2,1,"Se dovesse votare oggi alle elezioni nazionali, a quale dei seguenti partiti darebbe il suo voto più probabilmente?",sondaggipoliticoelettorali.it
17/06/2026,22/06/2026,Swg,SWG S.p.A.,La7,Italia Viva / Renzi,2.5,2.63,95.2,1,"Se dovesse votare oggi alle elezioni nazionali, a quale dei seguenti partiti darebbe il suo voto più probabilmente?",sondaggipoliticoelettorali.it
17/06/2026,22/06/2026,Swg,SWG S.p.A.,La7,+Europa,1.6,1.68,95.2,1,"Se dovesse votare oggi alle elezioni nazionali, a quale dei seguenti partiti darebbe il suo voto più probabilmente?",sondaggipoliticoelettorali.it
10/06/2026,15/06/2026,Swg,SWG S.p.A.,La7,FdI / Meloni,27.9,29.34,95.1,1,"Se dovesse votare oggi alle elezioni nazionali, a quale dei seguenti partiti darebbe il suo voto più probabilmente?",sondaggipoliticoelettorali.it
10/06/2026,15/06/2026,Swg,SWG S.p.A.,La7,PD / Schlein,22.1,23.24,95.1,1,"Se dovesse votare oggi alle elezioni nazionali, a quale dei seguenti partiti darebbe il suo voto più probabilmente?",sondaggipoliticoelettorali.it
10/06/2026,15/06/2026,Swg,SWG S.p.A.,La7,M5S / Conte,13.3,13.99,95.1,1,"Se dovesse votare oggi alle elezioni nazionali, a quale dei seguenti partiti darebbe il suo voto più probabilmente?",sondaggipoliticoelettorali.it
10/06/2026,15/06/2026,Swg,SWG S.p.A.,La7,Forza Italia / Tajani,7.2,7.57,95.1,1,"Se dovesse votare oggi alle elezioni nazionali, a quale dei seguenti partiti darebbe il suo voto più probabilmente?",sondaggipoliticoelettorali.it
10/06/2026,15/06/2026,Swg,SWG S.p.A.,La7,AVS / Fratoianni-Bonelli,6.5,6.83,95.1,1,"Se dovesse votare oggi alle elezioni nazionali, a quale dei seguenti partiti darebbe il suo voto più probabilmente?",sondaggipoliticoelettorali.it
10/06/2026,15/06/2026,Swg,SWG S.p.A.,La7,Lega / Salvini,5.3,5.57,95.1,1,"Se dovesse votare oggi alle elezioni nazionali, a quale dei seguenti partiti darebbe il suo voto più probabilmente?",sondaggipoliticoelettorali.it
10/06/2026,15/06/2026,Swg,SWG S.p.A.,La7,Futuro Nazionale / Vannacci,5.3,5.57,95.1,1,"Se dovesse votare oggi alle elezioni nazionali, a quale dei seguenti partiti darebbe il suo voto più probabilmente?",sondaggipoliticoelettorali.it
10/06/2026,15/06/2026,Swg,SWG S.p.A.,La7,Azione / Calenda,3.5,3.68,95.1,1,"Se dovesse votare oggi alle elezioni nazionali, a quale dei seguenti partiti darebbe il suo voto più probabilmente?",sondaggipoliticoelettorali.it
10/06/2026,15/06/2026,Swg,SWG S.p.A.,La7,Italia Viva / Renzi,2.4,2.52,95.1,1,"Se dovesse votare oggi alle elezioni nazionali, a quale dei seguenti partiti darebbe il suo voto più probabilmente?",sondaggipoliticoelettorali.it
10/06/2026,15/06/2026,Swg,SWG S.p.A.,La7,+Europa,1.6,1.68,95.1,1,"Se dovesse votare oggi alle elezioni nazionali, a quale dei seguenti partiti darebbe il suo voto più probabilmente?",sondaggipoliticoelettorali.it
08/06/2026,09/06/2026,Only Numbers,Only Numbers,RTI-Reti Televisive Italiane S.p.A.,FdI / Meloni,28.0,29.5,94.9,1,INTENZIONI DI VOTO,sondaggipoliticoelettorali.it
08/06/2026,09/06/2026,Only Numbers,Only Numbers,RTI-Reti Televisive Italiane S.p.A.,PD / Schlein,21.8,22.97,94.9,1,INTENZIONI DI VOTO,sondaggipoliticoelettorali.it
08/06/2026,09/06/2026,Only Numbers,Only Numbers,RTI-Reti Televisive Italiane S.p.A.,M5S / Conte,11.7,12.33,94.9,1,INTENZIONI DI VOTO,sondaggipoliticoelettorali.it
08/06/2026,09/06/2026,Only Numbers,Only Numbers,RTI-Reti Televisive Italiane S.p.A.,Forza Italia / Tajani,8.3,8.75,94.9,1,INTENZIONI DI VOTO,sondaggipoliticoelettorali.it
08/06/2026,09/06/2026,Only Numbers,Only Numbers,RTI-Reti Televisive Italiane S.p.A.,Lega / Salvini,7.0,7.38,94.9,1,INTENZIONI DI VOTO,sondaggipoliticoelettorali.it
08/06/2026,09/06/2026,Only Numbers,Only Numbers,RTI-Reti Televisive Italiane S.p.A.,AVS / Fratoianni-Bonelli,6.5,6.85,94.9,1,INTENZIONI DI VOTO,sondaggipoliticoelettorali.it
08/06/2026,09/06/2026,Only Numbers,Only Numbers,RTI-Reti Televisive Italiane S.p.A.,Futuro Nazionale / Vannacci,4.5,4.74,94.9,1,INTENZIONI DI VOTO,sondaggipoliticoelettorali.it
08/06/2026,09/06/2026,Only Numbers,Only Numbers,RTI-Reti Televisive Italiane S.p.A.,Azione / Calenda,3.0,3.16,94.9,1,INTENZIONI DI VOTO,sondaggipoliticoelettorali.it
08/06/2026,09/06/2026,Only Numbers,Only Numbers,RTI-Reti Televisive Italiane S.p.A.,Italia Viva / Renzi,2.7,2.85,94.9,1,INTENZIONI DI VOTO,sondaggipoliticoelettorali.it
08/06/2026,09/06/2026,Only Numbers,Only Numbers,RTI-Reti Televisive Italiane S.p.A.,+Europa,1.4,1.48,94.9,1,INTENZIONI DI VOTO,sondaggipoliticoelettorali.it
03/06/2026,08/06/2026,Swg,SWG S.p.A.,La7,FdI / Meloni,28.3,29.85,94.8,1,"Se dovesse votare oggi alle elezioni nazionali, a quale dei seguenti partiti darebbe il suo voto più probabilmente?",sondaggipoliticoelettorali.it
03/06/2026,08/06/2026,Swg,SWG S.p.A.,La7,PD / Schlein,22.0,23.21,94.8,1,"Se dovesse votare oggi alle elezioni nazionali, a quale dei seguenti partiti darebbe il suo voto più probabilmente?",sondaggipoliticoelettorali.it
03/06/2026,08/06/2026,Swg,SWG S.p.A.,La7,M5S / Conte,13.1,13.82,94.8,1,"Se dovesse votare oggi alle elezioni nazionali, a quale dei seguenti partiti darebbe il suo voto più probabilmente?",sondaggipoliticoelettorali.it
03/06/2026,08/06/2026,Swg,SWG S.p.A.,La7,Forza Italia / Tajani,7.0,7.38,94.8,1,"Se dovesse votare oggi alle elezioni nazionali, a quale dei seguenti partiti darebbe il suo voto più probabilmente?",sondaggipoliticoelettorali.it
03/06/2026,08/06/2026,Swg,SWG S.p.A.,La7,AVS / Fratoianni-Bonelli,6.5,6.86,94.8,1,"Se dovesse votare oggi alle elezioni nazionali, a quale dei seguenti partiti darebbe il suo voto più probabilmente?",sondaggipoliticoelettorali.it
03/06/2026,08/06/2026,Swg,SWG S.p.A.,La7,Lega / Salvini,5.6,5.91,94.8,1,"Se dovesse votare oggi alle elezioni nazionali, a quale dei seguenti partiti darebbe il suo voto più probabilmente?",sondaggipoliticoelettorali.it
03/06/2026,08/06/2026,Swg,SWG S.p.A.,La7,Futuro Nazionale / Vannacci,4.8,5.06,94.8,1,"Se dovesse votare oggi alle elezioni nazionali, a quale dei seguenti partiti darebbe il suo voto più probabilmente?",sondaggipoliticoelettorali.it
03/06/2026,08/06/2026,Swg,SWG S.p.A.,La7,Azione / Calenda,3.6,3.8,94.8,1,"Se dovesse votare oggi alle elezioni nazionali, a quale dei seguenti partiti darebbe il suo voto più probabilmente?",sondaggipoliticoelettorali.it
03/06/2026,08/06/2026,Swg,SWG S.p.A.,La7,Italia Viva / Renzi,2.4,2.53,94.8,1,"Se dovesse votare oggi alle elezioni nazionali, a quale dei seguenti partiti darebbe il suo voto più probabilmente?",sondaggipoliticoelettorali.it
03/06/2026,08/06/2026,Swg,SWG S.p.A.,La7,+Europa,1.5,1.58,94.8,1,"Se dovesse votare oggi alle elezioni nazionali, a quale dei seguenti partiti darebbe il suo voto più probabilmente?",sondaggipoliticoelettorali.it
28/05/2026,29/05/2026,Tecné,tecné srl,rti,FdI / Meloni,29.4,32.63,90.1,1,"se si votasse oggi per le politiche 
dichiarano il voto 55,7% - astensione e incerti 44,3% 
(rispondenti = 100%)",sondaggipoliticoelettorali.it
28/05/2026,29/05/2026,Tecné,tecné srl,rti,Forza Italia / Tajani,8.8,9.77,90.1,1,"se si votasse oggi per le politiche 
dichiarano il voto 55,7% - astensione e incerti 44,3% 
(rispondenti = 100%)",sondaggipoliticoelettorali.it
28/05/2026,29/05/2026,Tecné,tecné srl,rti,Lega / Salvini,7.1,7.88,90.1,1,"se si votasse oggi per le politiche 
dichiarano il voto 55,7% - astensione e incerti 44,3% 
(rispondenti = 100%)",sondaggipoliticoelettorali.it
